NO,NAME,CODE,LAST DONE,VOL ('00),CODE2
262,SDS,0212,0.335,"4,079",0212.KL
271,SLVEST,0215,1.28,"48,276",0215.KL
277,SPRING,0216,0.245,"1,420",0216.KL
240,PWRWELL,0217,0.21,"1,060",0217.KL
249,RL,0219,0.53,"12,248",0219.KL
214,OVH,0220,0.26,"3,905",0220.KL
213,OPTIMAX,0222,1.32,"1,479",0222.KL
255,SAMAIDEN,0223,1.15,"1,105",0223.KL
124,HPPHB,0228,0.495,"2,699",0228.KL
192,MOBILIA,0229,0.42,"5,244",0229.KL
295,TELADAN,0230,0.645,"3,705",0230.KL
314,VOLCANO,0232,0.51,"9,285",0232.KL
202,NESTCON,0235,0.35,"56,263",0235.KL
107,GOB,1147,0.285,"3,468",1147.KL
285,SYMLIFE,1538,0.55,"12,897",1538.KL
139,IWCITY,1589,0.375,"4,818",1589.KL
69,DRBHCOM,1619,1.58,"3,006",1619.KL
194,MRCB,1651,0.385,"40,207",1651.KL
220,PARAMON,1724,0.765,870,1724.KL
293,TDM,2054,0.235,"1,675",2054.KL
112,HARBOUR,2062,0.97,"2,979",2062.KL
54,COMFORT,2127,1.31,"55,835",2127.KL
190,MMCCORP,2194,1.83,"117,821",2194.KL
291,TANCO,2429,0.23,"197,247",2429.KL
53,CMSB,2852,1.19,"24,807",2852.KL
104,GKENT,3204,0.67,"4,246",3204.KL
110,GUH,3247,0.45,"5,826",3247.KL
133,IJM,3336,1.82,"8,942",3336.KL
71,E&O,3417,0.615,"1,067",3417.KL
64,DBHD,3484,0.495,"80,106",3484.KL
228,PGLOBE,3611,0.255,"9,142",3611.KL
186,MFLOUR,3662,0.79,"14,075",3662.KL
183,MELEWAR,3778,0.435,"32,519",3778.KL
171,LIONIND,4235,0.55,"14,005",4235.KL
323,WTK,4243,0.445,887,4243.KL
147,JTIASA,4383,0.625,"2,568",4383.KL
66,DNEX,4456,0.755,"471,781",4456.KL
232,POS,4634,0.7,"3,292",4634.KL
141,JAKS,4723,0.47,"114,310",4723.KL
206,NYLEX,4944,0.915,"15,087",4944.KL
322,WTHORSE,5009,0.715,"4,162",5009.KL
105,GLOMAC,5020,0.325,"1,563",5020.KL
218,PAOS,5022,0.38,"9,561",5022.KL
128,HUPSENG,5024,0.945,"1,938",5024.KL
205,NWP,5025,0.215,"221,365",5025.KL
126,HTPADU,5028,1.31,917,5028.KL
74,EDARAN,5036,0.885,"5,248",5036.KL
162,KSL,5038,0.615,"9,135",5038.KL
304,TSRCAP,5042,0.25,"1,224",5042.KL
81,ENGTEX,5056,0.635,"4,510",5056.KL
127,HUAYANG,5062,0.27,"2,523",5062.KL
236,PRTASCO,5070,0.225,"3,446",5070.KL
117,HIAPTEK,5072,0.545,"74,253",5072.KL
200,NAIM,5073,0.635,864,5073.KL
102,GETS,5079,1.76,"3,379",5079.KL
231,POHKONG,5080,0.805,"2,080",5080.KL
198,MYCRON,5087,0.505,"1,722",5087.KL
55,CSCSTEL,5094,1.29,"3,167",5094.KL
179,MASTEEL,5098,0.49,"15,120",5098.KL
87,EVERGRN,5101,0.39,898,5101.KL
136,IQGROUP,5107,1.84,"9,319",5107.KL
298,THPLANT,5112,0.515,"1,282",5112.KL
251,RSAWIT,5113,0.225,"7,585",5113.KL
217,PANTECH,5125,0.5,"3,084",5125.KL
63,DAYANG,5141,0.94,"81,018",5141.KL
175,LUXCHEM,5143,0.78,"7,261",5143.KL
306,UEMS,5148,0.365,"8,414",5148.KL
115,HEXTAR,5151,1.25,"62,832",5151.KL
121,HOMERIZ,5160,0.585,"1,303",5160.KL
142,JCY,5161,0.32,"6,641",5161.KL
316,VSTECS,5162,1.23,"3,237",5162.KL
257,SCABLE,5170,0.355,"2,514",5170.KL
157,KIMLUN,5171,0.79,"1,500",5171.KL
286,SYSCORP,5173,0.325,"4,804",5173.KL
182,MCT,5182,0.215,"2,101",5182.KL
60,CYPARK,5184,0.99,"6,588",5184.KL
290,TAMBUN,5191,0.77,"5,969",5191.KL
163,KSSC,5192,0.79,"2,519",5192.KL
45,CENSOF,5195,0.33,"15,957",5195.KL
118,HIBISCS,5199,0.625,"28,945",5199.KL
309,UOADEV,5200,1.64,"2,158",5200.KL
195,MSM,5202,1.65,"23,533",5202.KL
264,SENDAI,5205,0.21,"3,612",5205.KL
256,SBCCORP,5207,0.405,"1,330",5207.KL
281,SUNWAY,5211,1.73,"3,070",5211.KL
70,DSONIC,5216,0.445,"50,492",5216.KL
227,PESTECH,5219,1.01,"21,347",5219.KL
106,GLOTEC,5220,0.595,"7,692",5220.KL
91,FGV,5222,1.36,"5,281",5222.KL
98,GBGAQRS,5226,0.525,"1,740",5226.KL
225,PELIKAN,5231,0.43,"30,635",5231.KL
299,TITIJYA,5239,0.335,"1,686",5239.KL
275,SOLID,5242,0.245,"5,081",5242.KL
150,KAREX,5247,0.45,"3,819",5247.KL
72,ECONBHD,5253,0.385,"4,010",5253.KL
44,CARIMIN,5257,0.59,"5,879",5257.KL
215,OWG,5260,0.455,"5,835",5260.KL
178,MALAKOF,5264,0.82,"2,251",5264.KL
324,XINHWA,5267,0.365,"4,250",5267.KL
242,RANHILL,5272,0.68,"2,045",5272.KL
61,DANCO,5276,0.59,"1,999",5276.KL
95,FPGROUP,5277,0.775,"5,349",5277.KL
265,SERBADK,5279,0.315,"341,516",5279.KL
89,EWINT,5283,0.48,"14,146",5283.KL
268,SIMEPROP,5288,0.645,"4,364",5288.KL
123,HPMT,5291,0.58,"4,043",5291.KL
134,INNATURE,5295,0.67,"4,668",5295.KL
56,CTOS,5301,1.94,"255,087",5301.KL
302,TROP,5401,1.02,847,5401.KL
188,MINHO,5576,0.315,"2,575",5576.KL
108,GPHAROS,5649,0.355,"1,636",5649.KL
221,PARKSON,5657,0.205,"32,465",5657.KL
135,IPMUDA,5673,1.42,"13,677",5673.KL
197,MUHIBAH,5703,0.89,"2,586",5703.KL
170,LBS,5789,0.445,"1,226",5789.KL
50,CHOOBEE,5797,1.87,"1,568",5797.KL
210,OIB,5827,0.85,964,5827.KL
158,KPJ,5878,1.07,"1,019",5878.KL
