NO,NAME,CODE,LAST DONE,VOL ('00)
371,MPCORP ,6548,0.145,"2,744"
372,MPI ,3867,45.22,"1,354"
373,MQTECH ,70,0.08,"89,840"
374,MRCB ,1651,0.4,"58,971"
375,MRDIY ,5296,3.9,"28,081"
376,MSM ,5202,1.67,"30,368"
377,MSNIAGA ,5011,1.54,"1,125"
378,MTRONIC ,43,0.035,"22,649"
379,MUDA ,3883,2.93,"2,075"
380,MUH ,9539,0.61,"1,336"
381,MUHIBAH ,5703,0.955,"3,164"
382,MUIPROP ,3913,0.195,"10,711"
383,MYCRON ,5087,0.58,"4,059"
384,MYEG ,138,1.95,"160,885"
385,N2N ,108,0.765,"3,237"
386,NAIM ,5073,0.66,"5,123"
387,NATWIDE ,9806,0.21,608
388,NCT ,56,0.53,"33,179"
389,NESTCON ,235,0.375,"147,596"
390,NEXGRAM ,96,0.03,"20,573"
391,NGGB ,7241,0.78,"58,150"
392,NICE ,7139,0.175,"10,368"
393,NIHSIN ,7215,0.165,"69,549"
394,NOTION ,83,0.605,"15,963"
395,NOVAMSC ,26,0.13,"3,760"
396,NWP ,5025,0.235,"479,121"
397,NYLEX ,4944,0.855,688
398,OCB ,5533,0.8,"1,441"
399,OCK ,172,0.475,"12,974"
400,OCNCASH ,49,0.455,"1,000"
401,OCR ,7071,0.155,"10,246"
402,OFI ,7107,0.9,"3,925"
403,OIB ,5827,0.89,770
404,OKA ,7140,0.81,626
405,OMESTI ,9008,0.445,"9,929"
406,OPCOM ,35,0.54,"40,502"
407,OPENSYS ,40,0.41,"9,537"
408,OPTIMAX ,222,1.31,"3,653"
409,ORION ,79,0.055,"49,191"
410,ORNA ,5065,1.43,560
411,OVH ,220,0.28,"6,238"
412,OWG ,5260,0.465,"27,138"
413,PA ,7225,0.41,"98,121"
414,PADINI ,7052,3.12,"2,567"
415,PANTECH ,5125,0.52,"7,432"
416,PAOS ,5022,0.48,"207,658"
417,PARAGON ,9407,1.72,"2,041"
418,PARAMON ,1724,0.78,"2,703"
419,PARKSON ,5657,0.23,"61,836"
420,PARLO ,22,0.23,"54,718"
421,PASUKGB ,177,0.1,"105,130"
422,PCCS ,6068,0.455,"1,711"
423,PCHEM ,5183,8.08,"55,616"
424,PDZ ,6254,0.265,"100,208"
425,PECCA ,5271,3.01,"2,876"
426,PELIKAN ,5231,0.455,"45,308"
427,PENERGY ,5133,0.785,635
428,PENTA ,7160,5.18,"9,284"
429,PERDANA ,7108,0.125,"9,430"
430,PERMAJU ,7080,0.085,"13,411"
431,PESONA ,8311,0.24,500
432,PESTECH ,5219,1.06,"27,058"
433,PETDAG ,5681,19.7,"3,128"
434,PETGAS ,6033,16.74,"5,467"
435,PETRONM ,3042,4.22,518
436,PGLOBE ,3611,0.305,"17,017"
437,PHARMA ,7081,0.845,"57,115"
438,PHB ,4464,0.015,"13,641"
439,PICORP ,7201,0.135,"58,031"
440,PIE ,7095,3.46,"2,335"
441,PINEAPP ,6,1.12,"2,398"
442,PJBUMI ,7163,0.4,"4,430"
443,PLENITU ,5075,1.03,"3,996"
444,PMBTECH ,7172,7.1,"2,282"
445,PMETAL ,8869,5.82,"115,596"
446,PMHLDG ,1287,0.07,"3,120"
447,PNEPCB ,6637,0.095,"9,753"
448,POHKONG ,5080,0.815,"1,412"
449,POLY ,8117,0.805,795
450,POS ,4634,0.775,"3,978"
451,PPB ,4065,18.3,"18,082"
452,PPHB ,8273,0.825,"6,601"
453,PRESTAR ,9873,0.76,"37,956"
454,PRG ,7168,0.185,"13,910"
455,PRIVA ,123,0.18,"105,091"
456,PRLEXUS ,8966,0.46,"7,986"
457,PRTASCO ,5070,0.24,"2,892"
458,PTARAS ,9598,2.79,506
459,PTRANS ,186,0.63,"17,633"
460,PUC ,7,0.16,"446,745"
461,PUNCAK ,6807,0.45,"13,600"
462,PWORTH ,7123,0.105,"22,834"
463,PWROOT ,7237,1.36,"4,199"
464,PWRWELL ,217,0.225,"1,198"
465,QES ,196,0.73,"54,932"
466,QL ,7084,5.54,"5,319"
467,RALCO ,7498,1.12,827
468,RANHILL ,5272,0.72,"3,979"
469,REACH ,5256,0.085,"3,427"
470,RESINTC ,7232,0.625,"13,471"
