Ticker,Description,Change,Change %,Last,1-Month High,3-Month High,52 Week High,All Time High,Rating,Volume,Market Capitalization,Sector
MTOUCHE,MTOUCHE TECHNOLOGY BHD,0,0,0.11,0.115,0.115,0.636363,23.188439,Buy,10712800,101939096,Technology Services
MTRONIC,METRONIC GLOBAL BHD,0,0,0.03,0.045,0.045,0.2,0.83394,Sell,2235700,65055687.00000000,Technology Services
MUDA,MUDA HOLDINGS BHD,0.01,0.36231884,2.77,3.03,3.03,3.83,3.83,Sell,135700,841940322,Process Industries
MUDAJYA,MUDAJAYA GROUP BHD,-0.005,-2.77777778,0.175,0.21,0.22,0.345,4.575,Strong Sell,1004400,116795198,Industrial Services
MUH,MULTI-USAGE HOLDINGS BHD,-0.005,-0.74074074,0.67,0.765,0.97,0.97,2.14,Buy,71200,38082825,Finance
MUHIBAH,MUHIBBAH ENGINEERING (M) BHD,-0.01,-1.09289617,0.905,0.995,0.995,1.21,4.28,Strong Sell,211400,442352415,Industrial Services
MUIIND,MALAYAN UNITED INDUSTRIES BHD,0,0,0.085,0.09,0.11,0.165,0.57,Neutral,626100,249267711,Retail Trade
MUIPROP,MUI PROPERTIES BHD,-0.005,-2.63157895,0.185,0.2,0.225,0.315,0.525,Strong Sell,647000,140773774,Finance
MULPHA,MULPHA INTERNATIONAL BHD,0.01,0.44052863,2.28,2.53,2.53,2.53,21.500001,Neutral,65300,716781382,Consumer Services
MYCRON,MYCRON STEEL BHD,0.005,1.05263158,0.48,0.625,0.65,0.985,1.46,Sell,255900,155352352,Non-Energy Minerals
MYEG,MY E.G. SERVICES BHD,-0.005,-0.54945055,0.905,1,1,1.135,1.515,Sell,35996000,6582075512,Technology Services
MYNEWS,MYNEWS HOLDINGS BERHAD,-0.01,-1.11731844,0.885,0.97,1.06,1.12,1.8,Sell,1346800,610527810,Distribution Services
N2N,N2N CONNECT BHD,0,0,0.71,0.77,0.82,0.94,2.53,Sell,86200,396324943,Technology Services
NADIBHD,GAGASAN NADI CERGAS BERHAD,0.005,1.66666667,0.305,0.31,0.31,0.34,0.4,Buy,90300,225900009,Consumer Durables
NAIM,NAIM HOLDINGS BHD,-0.005,-0.80645161,0.615,0.7,0.8,0.955,6.4,Strong Sell,688700,310460859,Industrial Services
NATWIDE,NATIONWIDE EXPRESS HOLDINGS BERHAD,0,0,0.19,0.215,0.265,0.875,1.819609,Sell,0,23415262,Transportation
NCT,NCT ALLIANCE BERHAD,-0.005,-0.94339623,0.525,0.565,0.59,0.73,0.73,Sell,3290100,396062114,Technology Services
NESTCON,NESTCON BERHAD,0,0,0.385,0.43,0.43,0.43,0.43,Buy,1199700,,Consumer Durables
NESTLE,NESTLE (M) BHD,-0.4,-0.3014318,132.3,135.39999,136.5,144.5,163,Sell,39000,31118149284,Consumer Non-Durables
NETX,NETX HOLDINGS BHD,0,0,0.14,0.18,0.18,0.24,91.299759,Neutral,9094200,117035420,Technology Services
NEXGRAM,NEXGRAM HOLDINGS BERHAD,0,0,0.02,0.03,0.03,0.07,0.422502,Sell,874500,88284822,Technology Services
NGGB,NEXTGREEN GLOBAL BERHAD,-0.005,-0.65789474,0.755,0.84,0.84,0.84,0.84,Buy,482400,552741675,Commercial Services
NHFATT,NEW HOONG FATT HOLDINGS BHD,0,0,2.33,2.33,2.33,2.41,4.463632,Buy,0,192626351,Producer Manufacturing
