NO,NAME,CODE,LAST DONE,VOL ('00),STOCK
271,HPPHB,228,0.505,"4,695",0228.KL
272,HSL,6238,0.97,250,6238.KL
273,HSPLANT,5138,2,"1,580",5138.KL
274,HSSEB,185,0.545,381,0185.KL
275,HTPADU,5028,1.26,"3,065",5028.KL
276,HUAYANG,5062,0.265,"2,662",5062.KL
277,HUBLINE,7013,0.04,"86,700",7013.KL
278,HUPSENG,5024,0.94,"1,418",5024.KL
279,HWATAI,8478,0.745,"123,788",8478.KL
280,HWGB,9601,0.25,"42,740",9601.KL
281,IBHD,4251,0.265,"1,299",4251.KL
282,IBRACO,5084,0.51,110,5084.KL
283,ICON,5255,0.1,"55,186",5255.KL
284,ICONIC,9113,0.435,"14,163",9113.KL
285,IDEAL,9687,0.95,80,9687.KL
286,IFCAMSC,0023,0.325,"3,827",0023.KL
287,IHH,5225,6.65,"45,830",5225.KL
288,IJM,3336,1.8,"15,566",3336.KL
289,ILB,5614,0.425,100,5614.KL
290,IMASPRO,7222,2.19,330,7222.KL
291,INARI,166,3.66,"82,058",0166.KL
292,INCKEN,2607,0.45,954,2607.KL
293,INIX,0094,0.105,"11,871",0094.KL
294,INNATURE,5295,0.695,"4,658",5295.KL
295,INNO,6262,1.17,"6,904",6262.KL
296,INTA,192,0.265,"3,021",0192.KL
297,IOICORP,1961,3.75,"22,765",1961.KL
298,IOIPG,5249,1.2,"3,734",5249.KL
299,IPMUDA,5673,1.31,"4,905",5673.KL
300,IQGROUP,5107,1.48,"21,760",5107.KL
301,IQZAN,7183,0.07,"3,378",7183.KL
302,IREKA,8834,0.65,"87,006",8834.KL
303,IRIS,0010,0.23,"103,677",0010.KL
304,ITRONIC,9393,0.2,"84,521",9393.KL
305,IVORY,5175,0.135,"1,556",5175.KL
306,IWCITY,1589,0.365,"10,209",1589.KL
307,JADEM,7043,0.565,"19,150",7043.KL
308,JADI,7223,0.125,"110,217",7223.KL
309,JAG,0024,0.33,"73,139",0024.KL
310,JAKS,4723,0.46,"98,082",4723.KL
311,JAYCORP,7152,1.61,"2,391",7152.KL
312,JCY,5161,0.305,"9,930",5161.KL
313,JETSON,9083,0.35,"73,073",9083.KL
314,JFTECH,146,1.4,"23,165",0146.KL
315,JHM,127,1.83,"21,527",0127.KL
316,JIANKUN,8923,0.3,"16,623",8923.KL
317,JISHAN,3040,-,-,3040.KL
318,JKGLAND,6769,0.11,"4,930",6769.KL
319,JTIASA,4383,0.64,"47,493",4383.KL
320,K1,111,0.23,"30,032",0111.KL
321,KAB,193,0.4,"154,008",0193.KL
322,KAMDAR,8672,0.255,325,8672.KL
323,KANGER,0170,0.05,"967,135",0170.KL
324,KAREX,5247,0.425,"4,340",5247.KL
325,KARYON,0054,0.3,"85,666",0054.KL
326,KAWAN,7216,1.81,614,7216.KL
327,KEINHIN,7199,0.78,"6,054",7199.KL
328,KEN,7323,0.605,80,7323.KL
329,KERJAYA,7161,1.23,"1,356",7161.KL
330,KESM,9334,12.14,587,9334.KL
331,KEYASIC,143,0.11,"33,442",0143.KL
332,KFIMA,6491,2.02,212,6491.KL
333,KGB,151,1.73,"59,684",0151.KL
334,KGROUP,0036,0.03,"57,157",0036.KL
335,KHIND,7062,4.33,"2,129",7062.KL
336,KHJB,210,0.26,"3,271",0210.KL
337,KIALIM,6211,0.415,"1,815",6211.KL
338,KIMHIN,5371,0.9,251,5371.KL
339,KIMLUN,5171,0.8,"1,081",5171.KL
340,KKB,9466,1.29,20,9466.KL
341,KLCC,5235SS,6.49,862,5235SS.KL
342,KLK,2445,19.88,"7,025",2445.KL
343,KMLOONG,5027,1.51,"6,377",5027.KL
344,KNUSFOR,5035,0.7,50,5035.KL
345,KOBAY,6971,4.89,"17,231",6971.KL
346,KOMARK,7017,0.11,"6,827",7017.KL
347,KOSSAN,7153,2.3,"61,762",7153.KL
348,KOTRA,0002,2.87,501,0002.KL
349,KPJ,5878,1.21,"437,254",5878.KL
350,KPOWER,7130,0.63,"62,739",7130.KL
351,KPPROP,7077,0.775,"3,216",7077.KL
352,KPS,5843,0.74,676,5843.KL
353,KPSCB,9121,0.525,50,9121.KL
354,KRETAM,1996,0.57,701,1996.KL
355,KRONO,176,0.615,"22,363",0176.KL
356,KSL,5038,0.625,"3,322",5038.KL
357,KSSC,5192,0.77,"25,491",5192.KL
358,KTB,4847,0.155,"88,508",4847.KL
359,KUB,6874,0.615,"6,809",6874.KL
360,KYM,8362,0.395,"15,787",8362.KL
361,L&G,3174,0.125,"23,926",3174.KL
362,LAGENDA,7179,1.48,"17,508",7179.KL
363,LATITUD,7006,1.59,362,7006.KL
364,LAYHONG,9385,0.275,"2,137",9385.KL
365,LBALUM,9326,0.54,"108,077",9326.KL
366,LBICAP,8494,0.6,"6,687",8494.KL
367,LBS,5789,0.455,"3,948",5789.KL
368,LCTITAN,5284,2.58,"25,809",5284.KL
369,LEBTECH,9628,0.94,9,9628.KL
370,LEESK,8079,0.88,181,8079.KL
371,LFECORP,7170,0.135,"8,920",7170.KL
372,LIIHEN,7089,3,"1,279",7089.KL
373,LIONIND,4235,0.53,"17,669",4235.KL
374,LIONPSIM,8486,0.625,37,8486.KL
375,LITRAK,6645,3.8,"1,924",6645.KL
376,LKL,182,0.19,"112,570",0182.KL
377,LOTUS,8303,0.225,"3,899",8303.KL
378,LSTEEL,9881,0.63,"1,250",9881.KL
379,LTKM,7085,1.07,140,7085.KL
380,LUSTER,5068,0.135,"30,962",5068.KL
381,LUXCHEM,5143,0.745,"9,951",5143.KL
382,LYC,0075,0.26,"17,905",0075.KL
383,M3TECH,0017,0.055,"6,064",0017.KL
384,MACPIE,140,0.115,"66,433",0140.KL
385,MAG,0095,0.175,"11,348",0095.KL
386,MAGNA,7617,-,-,7617.KL
387,MAGNI,7087,2.09,"3,599",7087.KL
388,MAHSING,8583,0.705,"16,403",8583.KL
389,MALAKOF,5264,0.825,"7,669",5264.KL
390,MALTON,6181,0.48,"2,602",6181.KL
391,MASTEEL,5098,0.42,"11,687",5098.KL
392,MASTER,7029,1.75,"1,991",7029.KL
393,MATRIX,5236,2.02,"6,341",5236.KL
394,MAXIM,4022,0.255,"2,057",4022.KL
395,MAXIS,6012,4.54,"30,434",6012.KL
396,MBL,5152,0.485,"1,685",5152.KL
397,MBMR,5983,3.16,"11,322",5983.KL
398,MCEHLDG,7004,1.44,"2,039",7004.KL
399,MCEMENT,3794,2.98,"1,124",3794.KL
400,MCLEAN,167,0.37,"11,144",0167.KL
401,MCOM,3022,-,-,3022.KL
402,MCT,5182,0.2,"10,505",5182.KL
403,MEDIAC,5090,0.18,"5,305",5090.KL
404,MEGASUN,0081,0.125,"5,562",0081.KL
405,MELATI,5129,-,-,5129.KL
406,MELEWAR,3778,0.4,"17,160",3778.KL
407,MENANG,1694,0.59,"14,794",1694.KL
408,MENTIGA,5223,0.68,200,5223.KL
409,MERCURY,8192,1.14,74,8192.KL
410,MERIDIAN,5040,0.165,528,5040.KL
411,MESB,7234,0.52,"334,301",7234.KL
412,MESTRON,207,0.33,"40,173",0207.KL
413,MFCB,3069,3.64,"10,735",3069.KL
414,MFGROUP,3015,-,-,3015.KL
415,MFLOUR,3662,0.74,"36,996",3662.KL
416,MGB,7595,0.75,"1,930",7595.KL
417,MGRC,155,2.3,"73,498",0155.KL
418,MHB,5186,0.39,"18,569",5186.KL
419,MHC,5026,0.885,"2,806",5026.KL
420,MHCARE,3005,-,-,3005.KL
421,MI,5286,3.7,"31,757",5286.KL
422,MICROLN,126,0.63,"11,159",0126.KL
423,MIECO,5001,0.505,248,5001.KL
424,MIKROMB,112,0.215,640,0112.KL
425,MILUX,7935,0.65,164,7935.KL
426,MINDA,5166,0.08,"11,648",5166.KL
427,MINETEC,7219,0.115,"14,953",7219.KL
428,MINHO,5576,0.305,"29,507",5576.KL
429,MISC,3816,6.83,"17,305",3816.KL
430,MITRA,9571,0.25,"1,393",9571.KL
431,MJPERAK,8141,0.365,"1,867",8141.KL
432,MKH,6114,1.29,809,6114.KL
433,MKLAND,8893,0.2,"26,379",8893.KL
434,MMAG,0034,0.1,"76,235",0034.KL
435,MMCCORP,2194,1.95,"132,305",2194.KL
436,MMIS,3027,-,-,3027.KL
437,MMSV,113,1.06,"14,640",0113.KL
438,MNC,0103,0.03,3,0103.KL
439,MOBILIA,229,0.455,"28,595",0229.KL
440,MPAY,156,0.24,"38,252",0156.KL
441,MPCORP,6548,0.125,"3,543",6548.KL
442,MPI,3867,44.5,"4,615",3867.KL
443,MPSOL,3019,-,-,3019.KL
444,MQTECH,0070,0.06,"26,949",0070.KL
445,MRCB,1651,0.395,"17,978",1651.KL
446,MRDIY,5296,3.8,"33,406",5296.KL
447,MSM,5202,1.64,"51,244",5202.KL
448,MSNIAGA,5011,1.53,181,5011.KL
449,MTRONIC,0043,0.03,"117,132",0043.KL
450,MUDA,3883,2.78,"1,341",3883.KL
451,MUH,9539,0.665,"1,465",9539.KL
452,MUHIBAH,5703,0.905,"13,705",5703.KL
453,MUIPROP,3913,0.19,"2,806",3913.KL
454,MYCRON,5087,0.48,"1,140",5087.KL
455,MYEG,138,0.92,"163,131",0138.KL
456,N2N,108,0.72,"2,803",0108.KL
457,NADIBHD,206,0.31,"4,437",0206.KL
458,NAIM,5073,0.625,"1,915",5073.KL
459,NATWIDE,9806,0.19,620,9806.KL
460,NCT,0056,0.535,"81,304",0056.KL
461,NESTCON,235,0.385,"22,227",0235.KL
462,NESTLE,4707,132.7,785,4707.KL
463,NEXGRAM,0096,0.025,"7,433",0096.KL
464,NGGB,7241,0.76,"7,721",7241.KL
465,NHFATT,7060,-,-,7060.KL
466,NICE,7139,0.165,"9,522",7139.KL
467,NIHSIN,7215,0.135,"71,458",7215.KL
468,NOTION,0083,0.55,"18,370",0083.KL
469,NOVAMSC,0026,0.12,"12,707",0026.KL
470,NPC,5047,-,-,5047.KL
471,NPS,3006,-,-,3006.KL
472,NWP,5025,0.27,"443,428",5025.KL
473,NYLEX,4944,1.09,"120,562",4944.KL
474,OCB,5533,0.785,871,5533.KL
475,OCK,172,0.47,"32,263",0172.KL
476,OCNCASH,0049,0.415,"1,009",0049.KL
477,OCR,7071,0.14,"42,608",7071.KL
478,OFI,7107,0.91,610,7107.KL
479,OIB,5827,0.88,101,5827.KL
480,OKA,7140,0.805,"1,487",7140.KL
481,OMESTI,9008,0.45,"7,349",9008.KL
482,OPCOM,0035,1.11,"365,052",0035.KL
483,OPENSYS,0040,0.415,"13,671",0040.KL
484,OPTIMAX,222,1.39,"8,130",0222.KL
485,ORION,0079,0.045,"10,300",0079.KL
486,ORNA,5065,1.37,219,5065.KL
487,OVH,220,0.28,"8,932",0220.KL
488,OWG,5260,0.49,"30,621",5260.KL
489,PA,7225,0.42,"90,654",7225.KL
490,PADINI,7052,3.04,"4,599",7052.KL
491,PANSAR,8419,-,-,8419.KL
492,PANTECH,5125,0.495,"21,709",5125.KL
493,PAOS,5022,0.39,"10,915",5022.KL
494,PARAGON,9407,1.68,"5,572",9407.KL
495,PARAMON,1724,0.755,404,1724.KL
496,PARKSON,5657,0.21,"42,385",5657.KL
497,PARLO,0022,0.22,"169,105",0022.KL
498,PASDEC,6912,0.33,"2,378",6912.KL
499,PASUKGB,177,0.055,"132,673",0177.KL
500,PBA,5041,0.82,542,5041.KL
501,PCCS,6068,0.51,"13,817",6068.KL
502,PCHEM,5183,8.74,"35,407",5183.KL
503,PDZ,6254,0.255,"24,683",6254.KL
504,PEB,5622,1.5,546,5622.KL
505,PECCA,5271,2.98,"4,179",5271.KL
506,PELIKAN,5231,0.435,"32,847",5231.KL
507,PENERGY,5133,0.805,"1,470",5133.KL
508,PENTA,7160,5.43,"11,064",7160.KL
509,PERDANA,7108,0.12,"22,685",7108.KL
510,PERMAJU,7080,0.06,"17,502",7080.KL
511,PERSTIM,5436,4.06,457,5436.KL
512,PESONA,8311,0.245,"1,350",8311.KL
513,PESTECH,5219,1.11,"36,623",5219.KL
514,PETDAG,5681,18.98,"2,861",5681.KL
515,PETGAS,6033,16.86,"4,554",6033.KL
516,PETRONM,3042,4.29,483,3042.KL
517,PGLOBE,3611,0.28,"23,140",3611.KL
518,PHARMA,7081,0.84,"76,367",7081.KL
519,PHB,4464,0.01,"265,085",4464.KL
520,PICORP,7201,0.125,"28,301",7201.KL
521,PIE,7095,3.6,"9,582",7095.KL
522,PINEAPP,0006,1.12,"2,204",0006.KL
523,PJBUMI,7163,0.38,"16,006",7163.KL
524,PLB,7055,1.11,20,7055.KL
525,PLENITU,5075,0.995,105,5075.KL
526,PLS,9695,-,-,9695.KL
527,PMBTECH,7172,11.4,"5,720",7172.KL
528,PMETAL,8869,5.65,"49,794",8869.KL
529,PMHLDG,1287,0.075,"11,751",1287.KL
530,PNEPCB,6637,0.09,"2,585",6637.KL
531,POHKONG,5080,0.795,"4,189",5080.KL
532,POLY,8117,0.72,20,8117.KL
533,POS,4634,0.69,"4,766",4634.KL
534,PPB,4065,18.3,"5,365",4065.KL
535,PPHB,8273,0.775,"4,537",8273.KL
536,PRESTAR,9873,0.615,"15,411",9873.KL
537,PRG,7168,0.19,"21,979",7168.KL
538,PRIVA,123,0.17,"30,615",0123.KL
539,PRLEXUS,8966,0.39,"21,489",8966.KL
540,PRTASCO,5070,0.235,"1,632",5070.KL
541,PTARAS,9598,2.75,234,9598.KL
542,PTRANS,186,0.625,"7,574",0186.KL
543,PUC,0007,0.14,"18,427",0007.KL
544,PUNCAK,6807,0.38,"5,351",6807.KL
545,PWF,7134,0.56,60,7134.KL
546,PWORTH,7123,0.07,"2,636",7123.KL
547,PWROOT,7237,1.31,"7,589",7237.KL
548,PWRWELL,217,0.205,"11,853",0217.KL
549,QES,196,0.75,"54,153",0196.KL
550,QL,7084,5.32,"2,230",7084.KL
551,QUALITY,7544,1.36,"2,403",7544.KL
552,RALCO,7498,1,620,7498.KL
553,RANHILL,5272,0.665,"3,319",5272.KL
554,REACH,5256,0.08,"45,108",5256.KL
555,RESINTC,7232,0.685,"27,862",7232.KL
556,REVENUE,200,1.84,"8,863",0200.KL
557,REX,9946,0.235,"24,988",9946.KL
558,REXIT,0106,0.96,248,0106.KL
559,RGTBHD,9954,0.415,"16,209",9954.KL
560,RGTECH,202,0.355,"9,544",0202.KL
561,RL,219,0.565,"83,973",0219.KL
